x,y
0.004006566,0.053589411
0.096793875,0.137776479
0.155438453,0.104335062
0.206434011,0.159053057
0.222317129,0.166031763
0.239350557,0.205163568
0.238334522,0.225298643
0.242588595,0.242488444
0.271706551,0.605764747
0.2648215,0.288421184
0.263122529,0.309634984
0.284856588,0.334853649
0.313716978,0.381946355
0.333816648,0.367757767
0.359551072,0.414538175
0.359719068,0.433260977
0.36226204,0.430269957
0.36052826,0.432769716
0.363608897,0.388420165
0.366782844,0.392411113
0.37386772,0.383837312
0.379755139,0.391369522
0.386306137,0.387267143
0.391321629,0.372480631
0.386648655,0.367404252
0.393306375,0.350563169
0.393445313,0.353902996
0.398613214,0.341416746
0.385556817,0.328777343
0.392734379,0.316617876
0.385128498,0.314356804
0.390966773,0.306464285
0.388496518,0.297369301
0.395146698,0.289151639
0.389485568,0.278479874
0.390178353,0.285813987
0.379194826,0.269674987
0.386078328,0.264450192
0.381942332,0.256943792
0.381307393,0.256410509
0.383619756,0.257866234
0.380615711,0.260756999
0.379675955,0.259674102
0.378935546,0.265488803
0.377927303,0.266631931
0.379576534,0.263870865
0.377628684,0.263063312
0.375100613,0.263355255
0.377277434,0.265155107
0.382909566,0.265661657
0.382891655,0.265206218
0.383264273,0.261860907
0.387437046,0.267387748
0.386828005,0.265021771
0.390849203,0.264268905
0.398294449,0.273463786
0.398662597,0.274195105
0.398841232,0.273891598
0.400904864,0.274475396
0.404215544,0.276735604
0.405093402,0.276149064
0.405767739,0.279390186
0.405942589,0.276913911
0.403499812,0.27472046
0.403480828,0.276885301
0.407304674,0.28143543
0.358016878,0.399860114
0.355671376,0.399613082
0.354199976,0.444586068
0.590565741,0.805507898
0.388738841,0.878032506
0.583835304,0.921390057
1.121810198,0.765478253
-0.102789834,0.701778412
0.368821353,0.931554317
0.52122122,1.013836384
0.445970863,0.862574518
0.539031446,1.116573095
0.33503291,0.930990994
0.51976949,0.976983964
0.336674988,0.828760207
0.500099719,0.817314446
0.307484001,0.854891419
0.367282003,0.587524772
0.356407493,0.594973624
0.34979099,0.594699085
0.354852438,0.593250334
0.350471139,0.589800119
0.348930478,0.592495501
0.344367504,0.593270481
0.34274599,0.589312255
0.400274694,0.438555032
0.396585286,0.43990624
0.396151096,0.443326473
0.400727451,0.432526082
0.400762558,0.429456413
0.402973861,0.418365479
0.248913392,0.266903251
0.247310936,0.246568114
0.284080833,0.319501162
0.283529729,0.317972094
0.280897439,0.315858752
0.28270936,0.303044826
0.284824789,0.299983829
0.285318315,0.29287374
0.286274791,0.284531027
0.285687715,0.286143363
0.285058767,0.282271475
0.293061793,0.290607244
0.290902376,0.289569825
0.291389912,0.287536621
0.292698056,0.287663907
0.298986971,0.292180032
0.300681025,0.296847641
0.299091309,0.298922181
0.299892426,0.301404178
0.295012534,0.311435312
0.29702875,0.313236296
0.295517325,0.317898214
